area_type,availability,location,size,total_sqft,bath,balcony,price,bhk,price_per_sqft,is_luxury
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,1056.0,2.0,1.0,39.07,2,3699.810606060606,False
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,2600.0,5.0,3.0,120.0,4,4615.384615384615,True
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,1440.0,2.0,3.0,62.0,3,4305.555555555556,False
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1521.0,3.0,1.0,95.0,3,6245.890861275477,False
Super built-up  Area,Ready To Move,Kothanur,2 BHK,1200.0,2.0,1.0,51.0,2,4250.0,False
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1170.0,2.0,1.0,38.0,2,3247.863247863248,False
Super built-up  Area,18-May,Old Airport Road,4 BHK,2732.0,4.0,2.0,204.0,4,7467.0571010248905,True
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,3300.0,4.0,2.0,600.0,4,18181.81818181818,True
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1310.0,3.0,1.0,63.25,3,4828.244274809161,False
Super built-up  Area,18-Feb,Whitefield,3 BHK,1800.0,2.0,2.0,70.0,3,3888.8888888888887,False
Plot  Area,Ready To Move,Whitefield,4 Bedroom,2785.0,5.0,3.0,295.0,4,10592.45960502693,True
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1000.0,2.0,1.0,38.0,2,3800.0,False
Built-up  Area,Ready To Move,Gottigere,2 BHK,1100.0,2.0,2.0,40.0,2,3636.3636363636365,False
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,2250.0,3.0,2.0,148.0,3,6577.777777777777,False
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,1175.0,2.0,2.0,73.5,2,6255.31914893617,False
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1180.0,3.0,2.0,48.0,3,4067.7966101694915,False
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1540.0,3.0,3.0,60.0,3,3896.103896103896,False
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,2770.0,4.0,2.0,290.0,3,10469.314079422382,False
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,1100.0,2.0,2.0,48.0,2,4363.636363636364,False
Super built-up  Area,19-Dec,Binny Pete,3 BHK,1755.0,3.0,1.0,122.0,3,6951.5669515669515,False
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,2800.0,5.0,2.0,380.0,4,13571.42857142857,True
Super built-up  Area,Ready To Move,Bellandur,3 BHK,1767.0,3.0,1.0,103.0,3,5829.088851160159,False
Super built-up  Area,18-Nov, Thanisandra,1 RK,510.0,1.0,0.0,25.25,1,4950.980392156863,False
Super built-up  Area,18-May,Mangammanapalya,3 BHK,1250.0,3.0,2.0,56.0,3,4480.0,False
Super built-up  Area,Ready To Move,Electronic City,2 BHK,660.0,1.0,1.0,23.1,2,3500.0,False
Built-up  Area,20-Dec,Whitefield,3 BHK,1610.0,3.0,2.0,81.0,3,5031.055900621118,False
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,1151.0,2.0,2.0,48.77,2,4237.185056472633,False
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1025.0,2.0,1.0,47.0,3,4585.365853658536,False
Super built-up  Area,19-Dec,Yelahanka,4 BHK,2475.0,4.0,0.0,186.0,4,7515.151515151515,True
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075.0,2.0,1.0,35.0,3,3255.813953488372,False
Super built-up  Area,Ready To Move,Hebbal,3 BHK,1760.0,2.0,2.0,123.0,3,6988.636363636364,False
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,3.0,57.39,3,3389.84051978736,False
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,1925.0,3.0,2.0,125.0,3,6493.506493506494,False
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,700.0,2.0,1.0,36.0,2,5142.857142857143,False
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1070.0,2.0,1.0,45.5,2,4252.336448598131,False
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,1724.0,3.0,2.0,125.0,3,7250.580046403712,False
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,1290.0,2.0,2.0,56.12,3,4350.387596899225,False
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,1143.0,2.0,2.0,45.0,2,3937.0078740157483,False
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,1296.0,2.0,2.0,81.0,2,6250.0,False
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,1254.0,3.0,2.0,38.0,3,3030.3030303030305,False
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,600.0,1.0,0.0,38.0,1,6333.333333333333,False
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,660.0,1.0,0.0,48.0,1,7272.727272727273,False
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,1330.74,2.0,2.0,91.79,2,6897.665960292769,False
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,970.0,2.0,0.0,33.0,2,3402.061855670103,False
Super built-up  Area,20-Sep,Whitefield,2 BHK,1459.0,2.0,1.0,94.82,2,6498.971898560658,False
Plot  Area,Ready To Move,KR Puram,2 Bedroom,800.0,1.0,1.0,130.0,2,16250.0,False
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,869.0,2.0,1.0,36.0,2,4142.692750287687,False
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,1270.0,2.0,1.0,50.0,2,3937.0078740157483,False
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,1670.0,3.0,1.0,99.0,3,5928.143712574851,False
Built-up  Area,Ready To Move,Whitefield,3 BHK,2010.0,3.0,2.0,91.0,3,4527.363184079602,False
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1185.0,2.0,2.0,75.0,2,6329.113924050633,False
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1600.0,2.0,3.0,75.0,3,4687.5,False
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1200.0,2.0,2.0,44.0,2,3666.6666666666665,False
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,3210.0,2.0,2.0,192.0,4,5981.308411214954,True
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,1500.0,2.0,2.0,185.0,2,12333.333333333334,False
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,1407.0,4.0,1.0,150.0,6,10660.980810234541,False
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,840.0,2.0,2.0,45.0,2,5357.142857142857,False
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,4395.0,3.0,2.0,240.0,3,5460.750853242321,False
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,845.0,2.0,1.0,55.0,2,6508.87573964497,False
Plot  Area,Ready To Move,Whitefield,4 Bedroom,5700.0,5.0,3.0,650.0,4,11403.508771929824,True
Built-up  Area,Ready To Move,Varthur,2 BHK,1160.0,2.0,2.0,44.0,2,3793.103448275862,False
